tag,n_pos_repos,upstream_f1,upstream_precision,upstream_recall,upstream_f1_min,upstream_f1_max,fixed_f1
DoS,35,0.7716863605921618,0.6284220685495491,1.0,0.7485380116959064,0.7878787878787878,1.0
Access Control,29,0.7711182361418457,0.6282668231141868,1.0,0.7297297297297297,0.8169014084507042,1.0
Input Validation,26,0.7759596256393927,0.6344322954416225,1.0,0.7401574803149606,0.8062015503875969,1.0
Arithmetic,25,0.7870105795105795,0.6497578140717013,1.0,0.7380952380952381,0.8333333333333334,1.0
Accounting Error,24,0.7749698307080148,0.633016754739433,1.0,0.7551020408163265,0.8210526315789474,1.0
Logic Error,21,0.770613131071858,0.6278128476518855,1.0,0.7341772151898734,0.8169014084507042,1.0
ERC20,19,0.8477900447125022,0.7376657019672448,1.0,0.7843137254901961,0.9047619047619048,1.0
Oracle,9,0.8940196078431374,0.8116666666666665,1.0,0.8235294117647058,1.0,1.0
Governance,9,0.912812040522766,0.8438040979510244,1.0,0.8,1.0,1.0
Reentrancy,9,0.8657924169228517,0.7645375457875458,1.0,0.8148148148148148,0.9090909090909091,1.0
Chainlink,8,0.8933333333333333,0.8133333333333332,1.0,0.8,1.0,1.0
MEV,7,0.9110924369747899,0.845982905982906,1.0,0.7619047619047619,1.0,1.0
Cross-Chain,7,0.9686868686868687,0.9433333333333334,1.0,0.8888888888888888,1.0,1.0
ERC721,6,0.9,0.8333333333333334,1.0,0.8,1.0,1.0
Slippage,6,0.9398496240601503,0.89,1.0,0.8571428571428571,1.0,1.0
Flashloan,6,0.8857142857142856,0.8,1.0,0.8571428571428571,1.0,1.0
Upgradeable,6,0.9329836829836828,0.8839285714285714,1.0,0.7692307692307693,1.0,1.0
Liquidation,5,0.9438218390804597,0.8939705882352943,1.0,0.9333333333333333,0.9655172413793104,1.0
Uniswap,4,0.9199999999999999,0.8666666666666668,1.0,0.8,1.0,1.0
Pause,4,0.9199999999999999,0.8666666666666668,1.0,0.8,1.0,1.0
ERC4626,4,0.9888888888888889,0.9800000000000001,1.0,0.8888888888888888,1.0,1.0
ERC1155,3,0.9651515151515152,0.9380952380952381,1.0,0.8333333333333334,1.0,1.0
EIP712,3,0.9857142857142858,0.975,1.0,0.8571428571428571,1.0,1.0
call / delegatecall,2,1.0,1.0,1.0,1.0,1.0,1.0
Solmate,2,0.9666666666666666,0.95,1.0,0.6666666666666666,1.0,1.0
TWAP,2,0.9333333333333333,0.9,1.0,0.6666666666666666,1.0,1.0
Zksync,2,1.0,1.0,1.0,1.0,1.0,1.0
Bridge,2,1.0,1.0,1.0,1.0,1.0,1.0
