repo,tag,has_detector,routed,n_detectors_for_tag,n_functions
1150ac69e096,Access Control,True,True,7,208
1150ac69e096,DoS,True,True,5,208
1150ac69e096,Governance,False,False,0,208
19000d572f72,Accounting Error,False,False,0,239
19000d572f72,Cross-Chain,False,False,0,239
19000d572f72,DoS,True,True,5,239
19000d572f72,ERC20,True,True,4,239
19000d572f72,Reentrancy,True,True,1,239
19000d572f72,call / delegatecall,True,True,4,239
1aee004bafff,Access Control,True,True,7,464
1aee004bafff,Arithmetic,True,True,4,464
1aee004bafff,DAO,False,False,0,464
1aee004bafff,EIP712,False,False,0,464
1aee004bafff,Governance,False,False,0,464
1aee004bafff,Input Validation,True,True,1,464
1aee004bafff,Replay Attack,False,False,0,464
1aee004bafff,Upgradeable,False,False,0,464
22ad8fd6e044,Access Control,True,True,7,630
22ad8fd6e044,DoS,True,True,5,630
22ad8fd6e044,EIP712,False,False,0,630
22ad8fd6e044,Input Validation,True,True,1,630
22ad8fd6e044,Pause,False,False,0,630
22ad8fd6e044,Re-org Attack,False,False,0,630
289d8258d7b3,Access Control,True,True,7,145
289d8258d7b3,Accounting Error,False,False,0,145
289d8258d7b3,Arithmetic,True,True,4,145
289d8258d7b3,Chainlink,True,True,12,145
289d8258d7b3,DoS,True,True,5,145
289d8258d7b3,ERC4626,True,True,3,145
289d8258d7b3,ERC721,True,True,4,145
289d8258d7b3,Input Validation,True,True,1,145
289d8258d7b3,Liquidation,False,False,0,145
289d8258d7b3,Logic Error,True,True,5,145
289d8258d7b3,MEV,False,False,0,145
289d8258d7b3,Oracle,True,True,16,145
289d8258d7b3,Pause,False,False,0,145
289d8258d7b3,Reentrancy,True,True,1,145
289d8258d7b3,Slippage,True,True,10,145
289d8258d7b3,Uniswap,False,False,0,145
29aba850d512,Accounting Error,False,False,0,667
29aba850d512,Arithmetic,True,True,4,667
29aba850d512,DoS,True,True,5,667
29aba850d512,ERC20,True,True,4,667
29aba850d512,Input Validation,True,True,1,667
29aba850d512,Logic Error,True,True,5,667
2c2d03025183,Access Control,True,True,7,677
2c2d03025183,Accounting Error,False,False,0,677
2c2d03025183,Cross-Chain,False,False,0,677
2c2d03025183,DoS,True,True,5,677
2c2d03025183,ERC20,True,True,4,677
2c2d03025183,ERC777,False,False,0,677
2c2d03025183,Governance,False,False,0,677
2c2d03025183,Multisig,False,False,0,677
2c2d03025183,Opensea,False,False,0,677
2c2d03025183,Reentrancy,True,True,1,677
37dd0c2e7de6,Accounting Error,False,False,0,425
37dd0c2e7de6,Arithmetic,True,True,4,425
37dd0c2e7de6,DoS,True,True,5,425
37dd0c2e7de6,ERC20,True,True,4,425
37dd0c2e7de6,Logic Error,True,True,5,425
37dd0c2e7de6,Oracle,True,True,16,425
3a8408b6f3d4,Access Control,True,True,7,20
